TEMPERATURA TRIAC COOLER WINDOW
11.5 63.764754856614246 32.14375652899763 19.392321092628748
11.6 63.66341237732427 32.24082916524421 19.442995192590647
11.7 63.56259172785947 32.33746589740331 19.493314183993178
11.8 63.46227734995008 32.43367813269253 19.543286038713166
11.9 63.362453964041244 32.529477126507295 19.59291857674394
12.0 63.26310655937574 32.624873987911954 19.64155358898721
12.1 63.16422038438803 32.719059383791354 19.689101987932943
12.2 63.0657809373968 32.81284281037401 19.736477396997007
12.3 62.96777395758378 32.90623505459097 19.78368702079515
12.4 62.87018541624345 32.99924676690972 19.830737942837466
12.5 62.77300150829563 33.09188846641319 19.877637130801684
12.6 62.67620864404498 33.16655232915734 19.922695350421165
12.7 62.57979344118044 33.2407203599741 19.967616598749387
12.8 62.48374271700213 33.31440381578523 20.012407319366883
12.9 62.38804348086448 33.387613748414765 20.05707385640176
13.0 62.292682926829265 33.46036101083036 20.10162245906457
13.1 62.19764842651542 33.532656263196955 20.14500097484955
13.2 62.10292752213986 33.60372262573619 20.187330347250377
13.3 62.00850791973904 33.67326863653429 20.22939486207321
13.4 61.91437748256272 33.74238438123087 20.271200569422827
13.5 61.820524224633814 33.81107980705702 20.312753413332707
13.6 61.7269363044652 33.879364689515754 20.354059234980415
13.7 61.63360201892627 33.9472486376076 20.395123775808596
13.8 61.540509797252604 34.01474109890403 20.43595268055513
13.9 61.44764819519237 34.08015176919896 20.4765515001963
14.0 61.35500588928146 34.144863511766246 20.51692569480605
14.1 61.2625716712428 34.20920333808963 20.55708063633455
14.2 61.17033444250188 34.27318005250381 20.59557957626954
14.3 61.078283208814206 34.33680231580897 20.6332324690836
14.4 60.98640707499836 34.400078649659676 20.670674130239266
14.5 60.89469523976808 34.462449789010115 20.707909544317655
14.6 60.803136990660164 34.52289803024744 20.7449436155656
14.7 60.71172169905034 34.583018427056416 20.781781170345358
14.8 60.620438815254815 34.64281890447588 20.818426959517037
14.9 60.52927786371029 34.702307264118865 20.85488566075591
15.0 60.4382284382285 34.761491187972965 20.89116188080766
15.1 60.34728019732107 34.820378242098414 20.92726015768351
15.2 60.25642285958982 34.877406114973034 20.96318496279777
15.3 60.16564619917716 34.93342266039289 20.997038681386606
15.4 60.07494004127391 34.98915863191237 21.03032194791726
15.5 59.984294257678734 35.044621048999836 21.06343885658774
15.6 59.893698762406075 35.0998168286321 21.096393512460015
15.7 59.80314350733857 35.15475278849999 21.129189960272043
15.8 59.7126184779182 35.20918046157349 21.161832186311894
15.9 59.62211368887467 35.26118996151838 21.194324120244204
16.0 59.53161917998612 35.31295472263868 21.22666963689017
16.1 59.44112501186695 35.364481048967136 21.258872557963464
16.2 59.350621261781754 35.41577515710863 21.29093665376322
16.3 59.26009801947898 35.46684317901821 21.322865644826173
16.4 59.16954538304227 35.51769116471038 21.35225301555226
16.5 59.07895345475571 35.56698150229083 21.38139868025592
16.6 58.98831233697767 35.614851405994926 21.410415513023654
16.7 58.897612128022104 35.66251483081769 21.439306881973746
16.8 58.8068429180422 35.709977348922 21.4680761105454
16.9 58.71599478491225 35.75724446070525 21.496726478934793
17.0 58.62505779010633 35.80432159714628 21.525261225496976
17.1 58.534021974567246 35.85121412209912 21.55368354811549
17.2 58.44287735456482 35.895390677833184 21.581996605540642
17.3 58.35161391753891 35.93924894654171 21.610203518697826
